#description=List of training/reference polygons used for classification of the open water in Sentinel-1A scene (29-03-2025) using 'New Vector Data Container' in SNAP
#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
org.esa.snap.Geometry	geometry:Geometry	style_css:String
ID5d7c49f8efaf	POLYGON ((-163495.76094046596 2237322.632876645, -161707.728729152 2237322.632876645, -161707.728729152 2235236.5952967783, -163495.76094046596 2235236.5952967783, -163495.76094046596 2237322.632876645))	[null]
ID5d7c49f8efb0	POLYGON ((-179602.2142924455 2280443.940419918, -176002.65959664146 2280443.940419918, -176002.65959664146 2277084.356037168, -179602.2142924455 2277084.356037168, -179602.2142924455 2280443.940419918))	[null]
ID5d7c49f8efb1	POLYGON ((-193520.49244955456 2288842.901376794, -191120.7893190185 2288842.901376794, -191120.7893190185 2284043.495115722, -193520.49244955456 2284043.495115722, -193520.49244955456 2288842.901376794))	[null]
ID5d7c49f8efb3	POLYGON ((-129245.64036619799 2205297.1909198463, -125967.58131212239 2205297.1909198463, -125967.58131212239 2202764.1452871514, -129245.64036619799 2202764.1452871514, -129245.64036619799 2205297.1909198463))	[null]
ID5d7c49f8efb4	POLYGON ((-115686.3960970671 2214088.34929214, -113004.34778009617 2214088.34929214, -113004.34778009617 2212300.317080826, -115686.3960970671 2212300.317080826, -115686.3960970671 2214088.34929214))	[null]
ID5d7c49f8efb5	POLYGON ((-104660.19746063103 2162533.4205325874, -99594.10619524147 2162533.4205325874, -99594.10619524147 2159851.3722156165, -104660.19746063103 2159851.3722156165, -104660.19746063103 2162533.4205325874))	[null]
ID5d7c49f8efb6	POLYGON ((-106746.23504049733 2158957.3561099595, -103319.17330214556 2158957.3561099595, -103319.17330214556 2157169.3238986456, -106746.23504049733 2157169.3238986456, -106746.23504049733 2158957.3561099595))	[null]
ID5d7c49f8efb7	POLYGON ((-140569.8443711864 2141226.036681096, -135354.75042152067 2141226.036681096, -135354.75042152067 2139885.0125226104, -140569.8443711864 2139885.0125226104, -140569.8443711864 2141226.036681096))	[null]
ID5d7c49f8efb8	POLYGON ((-145784.93832085212 2140034.0152068865, -141761.86584539572 2140034.0152068865, -141761.86584539572 2138394.985679849, -145784.93832085212 2138394.985679849, -145784.93832085212 2140034.0152068865))	[null]
ID5d7c49f8efb9	POLYGON ((-166835.93598809186 2173320.17782934, -164495.2067084308 2173320.17782934, -164495.2067084308 2172302.469446879, -166835.93598809186 2172302.469446879, -166835.93598809186 2173320.17782934))	[null]
ID5d7c49f8efba	POLYGON ((-137017.08038197493 2154390.8019155595, -134065.72607283707 2154390.8019155595, -134065.72607283707 2153373.0935330978, -137017.08038197493 2153373.0935330978, -137017.08038197493 2154390.8019155595))	[null]
ID5d7c49f8efbb	POLYGON ((-145260.5182799117 2157647.4687394355, -142919.78900025063 2157647.4687394355, -142919.78900025063 2156527.989518728, -145260.5182799117 2156527.989518728, -145260.5182799117 2157647.4687394355))	[null]
ID5d7c49f8efbc	POLYGON ((-145769.37247114233 2161107.677239804, -144649.8932504349 2161107.677239804, -144649.8932504349 2160191.739695589, -145769.37247114233 2160191.739695589, -145769.37247114233 2161107.677239804))	[null]
ID5d7c49f8efbd	POLYGON ((-142410.93480901996 2166908.6150198337, -140171.97636760504 2166908.6150198337, -140171.97636760504 2165789.1357991262, -142410.93480901996 2165789.1357991262, -142410.93480901996 2166908.6150198337))	[null]
ID5d7c49f8efbe	POLYGON ((-128274.88787813872 2151278.5027757874, -126471.95539839714 2151278.5027757874, -126471.95539839714 2146771.1715764333, -128274.88787813872 2146771.1715764333, -128274.88787813872 2151278.5027757874))	[null]
ID5d7c49f8efbf	POLYGON ((-97084.15597860943 2165701.96261372, -92757.11802722965 2165701.96261372, -92757.11802722965 2164259.6166299265, -97084.15597860943 2164259.6166299265, -97084.15597860943 2165701.96261372))	[null]
ID5d7c49f8efc0	POLYGON ((-238029.2048873608 2131436.8612350733, -233805.72737761735 2131436.8612350733, -233805.72737761735 2127213.38372533, -238029.2048873608 2127213.38372533, -238029.2048873608 2131436.8612350733))	[null]
ID5d7c49f8efc1	POLYGON ((-285543.3268719744 2099232.8452232797, -282111.75139530783 2099232.8452232797, -282111.75139530783 2097121.106468408, -285543.3268719744 2097121.106468408, -285543.3268719744 2099232.8452232797))	[null]
ID5d7c49f8efc2	POLYGON ((-259398.68124994077 2225724.6768033733, -257801.67881656904 2225724.6768033733, -257801.67881656904 2223169.472909978, -259398.68124994077 2223169.472909978, -259398.68124994077 2225724.6768033733))	[null]
ID5d7c49f8efc3	POLYGON ((-288144.725050632 2098922.6835936573, -286228.3221305859 2098922.6835936573, -286228.3221305859 2097325.6811602856, -288144.725050632 2097325.6811602856, -288144.725050632 2098922.6835936573))	[null]
ID5d7c49f8efc4	POLYGON ((-119820.6685732512 2209754.6524696555, -115668.46224648468 2209754.6524696555, -115668.46224648468 2207199.448576261, -119820.6685732512 2207199.448576261, -119820.6685732512 2209754.6524696555))	[null]
ID5d7c49f8efc5	POLYGON ((-109280.45251299773 2164080.382875224, -106725.24861960296 2164080.382875224, -106725.24861960296 2160886.3780084806, -109280.45251299773 2160886.3780084806, -109280.45251299773 2164080.382875224))	[null]
ID5d7c49f8efc6	POLYGON ((-144414.5060471759 2245208.106490508, -142817.50361380418 2245208.106490508, -142817.50361380418 2239139.4972436954, -144414.5060471759 2239139.4972436954, -144414.5060471759 2245208.106490508))	[null]
ID5d7c49f8efc7	POLYGON ((-173479.95033454147 2265969.1381243407, -170285.94546779798 2265969.1381243407, -170285.94546779798 2261816.9317975743, -173479.95033454147 2261816.9317975743, -173479.95033454147 2265969.1381243407))	[null]
ID5d7c49f8efc8	POLYGON ((-172820.197294501 2187638.6086017876, -171486.1371271569 2187638.6086017876, -171486.1371271569 2186775.3931993884, -172820.197294501 2186775.3931993884, -172820.197294501 2187638.6086017876))	[null]
ID5d7c49f8efc9	POLYGON ((-170152.0769598128 2185362.8589045536, -169524.28393988617 2185362.8589045536, -169524.28393988617 2185009.725330845, -170152.0769598128 2185009.725330845, -170152.0769598128 2185362.8589045536))	[null]
ID5d7c49f8efca	POLYGON ((-181177.6918722744 2184068.035800955, -180706.8471073294 2184068.035800955, -180706.8471073294 2183754.1392909917, -181177.6918722744 2183754.1392909917, -181177.6918722744 2184068.035800955))	[null]
ID5d7c49f8efcb	POLYGON ((-177999.48970889577 2183401.0057172826, -176979.326051515 2183401.0057172826, -176979.326051515 2183008.6350798286, -177999.48970889577 2183008.6350798286, -177999.48970889577 2183401.0057172826))	[null]
ID5d7c49f8efcc	POLYGON ((-161284.50055334903 2188344.8757492052, -159597.3068122962 2188344.8757492052, -159597.3068122962 2187913.2680480056, -161284.50055334903 2187913.2680480056, -161284.50055334903 2188344.8757492052))	[null]
ID5d7c49f8efcd	POLYGON ((-161088.31523462196 2194348.1465022536, -160264.33689596824 2194348.1465022536, -160264.33689596824 2193798.827609818, -161088.31523462196 2193798.827609818, -161088.31523462196 2194348.1465022536))	[null]
ID5d7c49f8efce	POLYGON ((-157164.60886008048 2188933.4317053864, -156065.97107520886 2188933.4317053864, -156065.97107520886 2188462.5869404413, -157164.60886008048 2188462.5869404413, -157164.60886008048 2188933.4317053864))	[null]
ID5d7c49f8efcf	POLYGON ((-165538.5575005355 2199959.1702145985, -164906.6406652092 2199959.1702145985, -164906.6406652092 2199442.1473493315, -165538.5575005355 2199442.1473493315, -165538.5575005355 2199959.1702145985))	[null]
ID5d7c49f8efd0	POLYGON ((-168583.24770710757 2196742.1390529373, -167606.64896160332 2196742.1390529373, -167606.64896160332 2196569.7980978484, -168583.24770710757 2196569.7980978484, -168583.24770710757 2196742.1390529373))	[null]
ID5d7c49f8efd1	POLYGON ((-167434.30800651433 2197488.9498583227, -166687.49720112875 2197488.9498583227, -166687.49720112875 2197144.267948145, -167434.30800651433 2197144.267948145, -167434.30800651433 2197488.9498583227))	[null]
ID5d7c49f8efd2	POLYGON ((-165308.76956041687 2197431.502873293, -164389.61779994227 2197431.502873293, -164389.61779994227 2196857.0330229965, -165308.76956041687 2196857.0330229965, -165308.76956041687 2197431.502873293))	[null]
ID5d7c49f8efd3	POLYGON ((-163355.57206940834 2199154.912424183, -161172.58663828118 2199154.912424183, -161172.58663828118 2198925.1244840645, -163355.57206940834 2198925.1244840645, -163355.57206940834 2199154.912424183))	[null]
ID5d7c49f8efd4	POLYGON ((-159391.73010236167 2201567.685795429, -158587.47231194642 2201567.685795429, -158587.47231194642 2201108.109915192, -159391.73010236167 2201108.109915192, -159391.73010236167 2201567.685795429))	[null]
ID5d7c49f8efd5	POLYGON ((-158357.68437182775 2201395.34484034, -157668.3205514718 2201395.34484034, -157668.3205514718 2200820.874990043, -158357.68437182775 2200820.874990043, -158357.68437182775 2201395.34484034))	[null]
ID5d7c49f8efd6	POLYGON ((-140664.01298269187 2194674.0475918697, -139974.64916233596 2194674.0475918697, -139974.64916233596 2194042.130756543, -140664.01298269187 2194042.130756543, -140664.01298269187 2194674.0475918697))	[null]
ID5d7c49f8efd7	POLYGON ((-162378.9733239041 2180082.5133943353, -161402.37457839985 2180082.5133943353, -161402.37457839985 2179680.3844991275, -162378.9733239041 2179680.3844991275, -162378.9733239041 2180082.5133943353))	[null]
ID5d7c49f8efd8	POLYGON ((-174270.4992250441 2187378.2804931025, -173006.66555439154 2187378.2804931025, -173006.66555439154 2186976.1515978947, -174270.4992250441 2186976.1515978947, -174270.4992250441 2187378.2804931025))	[null]
ID5d7c49f8efd9	POLYGON ((-172030.0668088873 2195765.540307433, -171570.49092865002 2195765.540307433, -171570.49092865002 2195018.7295020474, -172030.0668088873 2195018.7295020474, -172030.0668088873 2195765.540307433))	[null]
ID5d7c49f8efda	POLYGON ((-171627.93791367966 2194846.3885469586, -171053.46806338304 2194846.3885469586, -171053.46806338304 2194386.812666721, -171627.93791367966 2194386.812666721, -171627.93791367966 2194846.3885469586))	[null]
ID5d7c49f8efdb	POLYGON ((-161919.3974436668 2193697.4488463653, -161287.48060834053 2193697.4488463653, -161287.48060834053 2193295.3199511576, -161919.3974436668 2193295.3199511576, -161919.3974436668 2193697.4488463653))	[null]
ID5d7c49f8efdc	POLYGON ((-142444.8695186114 2192778.2970858905, -141927.84665334446 2192778.2970858905, -141927.84665334446 2191916.592310446, -142444.8695186114 2191916.592310446, -142444.8695186114 2192778.2970858905))	[null]
ID5d7c49f8efdd	POLYGON ((-139055.49740186136 2194099.577741573, -138021.45167132744 2194099.577741573, -138021.45167132744 2193180.4259810983, -139055.49740186136 2193180.4259810983, -139055.49740186136 2194099.577741573))	[null]
ID5d7c49f8efde	POLYGON ((-161442.9608733233 2167731.842465346, -159072.6408240144 2167731.842465346, -159072.6408240144 2167120.1469687503, -161442.9608733233 2167120.1469687503, -161442.9608733233 2167731.842465346))	[null]
ID5d7c49f8efdf	POLYGON ((-140492.39011491576 2174995.726487422, -139651.30880709647 2174995.726487422, -139651.30880709647 2174231.107116677, -140492.39011491576 2174231.107116677, -140492.39011491576 2174995.726487422))	[null]
ID5d7c49f8efe0	POLYGON ((-136500.5933778759 2147234.7854242823, -134160.8818065973 2147234.7854242823, -134160.8818065973 2145387.644710115, -136500.5933778759 2145387.644710115, -136500.5933778759 2147234.7854242823))	[null]
ID5d7c49f8efe1	POLYGON ((-134037.73909231948 2145264.5019958373, -133914.59637804166 2145264.5019958373, -133914.59637804166 2145141.3592815595, -134037.73909231948 2145141.3592815595, -134037.73909231948 2145264.5019958373))	[null]
ID5d7c49f8efe2	POLYGON ((-133422.02552093036 2145880.2155672265, -131574.88480676306 2145880.2155672265, -131574.88480676306 2144033.074853059, -133422.02552093036 2144033.074853059, -133422.02552093036 2145880.2155672265))	[null]
ID5d7c49f8efe3	POLYGON ((-133422.02552093036 2150682.7814240614, -131574.88480676306 2150682.7814240614, -131574.88480676306 2148712.4979956164, -133422.02552093036 2148712.4979956164, -133422.02552093036 2150682.7814240614))	[null]
ID5d7c49f8efe4	POLYGON ((-157065.426662272 2153761.349281007, -156326.57037660506 2153761.349281007, -156326.57037660506 2152776.207566784, -157065.426662272 2152776.207566784, -157065.426662272 2153761.349281007))	[null]
ID5d7c49f8efe5	POLYGON ((-155957.1422337716 2149697.6397098387, -154972.00051954904 2149697.6397098387, -154972.00051954904 2148466.2125670607, -155957.1422337716 2148466.2125670607, -155957.1422337716 2149697.6397098387))	[null]
ID5d7c49f8efe6	POLYGON ((-181817.11223211398 2157209.345280786, -180216.2569465023 2157209.345280786, -180216.2569465023 2156470.488995119, -181817.11223211398 2156470.488995119, -181817.11223211398 2157209.345280786))	[null]
ID5d7c49f8efe7	POLYGON ((-191299.1012315062 2157209.345280786, -189698.24594589454 2157209.345280786, -189698.24594589454 2156839.9171379525, -191299.1012315062 2156839.9171379525, -191299.1012315062 2157209.345280786))	[null]
ID5d7c49f8efe8	POLYGON ((-181693.96951783617 2150067.067852672, -180462.54237505796 2150067.067852672, -180462.54237505796 2149451.354281283, -181693.96951783617 2149451.354281283, -181693.96951783617 2150067.067852672))	[null]
ID5d7c49f8efe9	POLYGON ((-209401.0802303459 2149820.7824241165, -204721.65708778868 2149820.7824241165, -204721.65708778868 2147973.6417099494, -209401.0802303459 2147973.6417099494, -209401.0802303459 2149820.7824241165))	[null]
ID5d7c49f8efea	POLYGON ((-203367.08723073266 2147357.92813856, -198441.3786596198 2147357.92813856, -198441.3786596198 2146865.357281449, -203367.08723073266 2146865.357281449, -203367.08723073266 2147357.92813856))	[null]
ID5d7c49f8efeb	POLYGON ((-205829.94151628908 2146865.357281449, -203859.65808784394 2146865.357281449, -203859.65808784394 2145510.787424393, -205829.94151628908 2145510.787424393, -205829.94151628908 2146865.357281449))	[null]
ID5d7c49f8efec	POLYGON ((-203490.22994501048 2149451.354281283, -201519.94651656534 2149451.354281283, -201519.94651656534 2148343.069852783, -203490.22994501048 2148343.069852783, -203490.22994501048 2149451.354281283))	[null]
ID5d7c49f8efed	POLYGON ((-194131.3836598961 2156101.0608522855, -193146.2419456735 2156101.0608522855, -193146.2419456735 2155362.2045666184, -194131.3836598961 2155362.2045666184, -194131.3836598961 2156101.0608522855))	[null]
ID5d7c49f8efee	POLYGON ((-171226.8388042214 2188364.4519930747, -169872.26894716534 2188364.4519930747, -169872.26894716534 2187133.0248502963, -171226.8388042214 2187133.0248502963, -171226.8388042214 2188364.4519930747))	[null]
ID5d7c49f8efef	POLYGON ((-131082.31394965178 2193782.731421299, -129727.74409259575 2193782.731421299, -129727.74409259575 2192797.589707076, -131082.31394965178 2192797.589707076, -131082.31394965178 2193782.731421299))	[null]
ID5d7c49f8eff0	POLYGON ((-134284.02452087513 2195629.872135466, -133298.88280665255 2195629.872135466, -133298.88280665255 2194275.3022784097, -134284.02452087513 2194275.3022784097, -134284.02452087513 2195629.872135466))	[null]
ID5d7c49f8eff1	POLYGON ((-125294.6063785942 2204742.432992025, -123447.46566442688 2204742.432992025, -123447.46566442688 2202279.5787064685, -125294.6063785942 2202279.5787064685, -125294.6063785942 2204742.432992025))	[null]
ID5d7c49f8eff2	POLYGON ((-132560.02652098564 2206466.430991914, -130097.1722354292 2206466.430991914, -130097.1722354292 2204126.7194206356, -132560.02652098564 2204126.7194206356, -132560.02652098564 2206466.430991914))	[null]
ID5d7c49f8eff3	POLYGON ((-145630.81739437114 2251008.6143589327, -142358.4949436402 2251008.6143589327, -142358.4949436402 2248172.6015682993, -145630.81739437114 2248172.6015682993, -145630.81739437114 2251008.6143589327))	[null]
ID5d7c49f8eff4	POLYGON ((-143012.9594337864 2241846.1114968862, -141485.87562344526 2241846.1114968862, -141485.87562344526 2237046.705235814, -143012.9594337864 2237046.705235814, -143012.9594337864 2241846.1114968862))	[null]
ID5d7c49f8eff5	POLYGON ((-144540.0432441275 2233338.0731249857, -143231.11426383513 2233338.0731249857, -143231.11426383513 2228974.9765240108, -144540.0432441275 2228974.9765240108, -144540.0432441275 2233338.0731249857))	[null]
ID5d7c49f8eff6	POLYGON ((-244018.64574634875 2235519.6214254727, -241400.78778576397 2235519.6214254727, -241400.78778576397 2233774.3827850833, -244018.64574634875 2233774.3827850833, -244018.64574634875 2235519.6214254727))	[null]
ID5d7c49f8eff7	POLYGON ((-234637.9880542533 2250354.149868787, -233110.9042439122 2250354.149868787, -233110.9042439122 2249481.5305485916, -234637.9880542533 2249481.5305485916, -234637.9880542533 2250354.149868787))	[null]
ID5d7c49f8eff8	POLYGON ((-229838.58179318125 2239882.7180264476, -227657.0334926939 2239882.7180264476, -227657.0334926939 2238791.943876204, -229838.58179318125 2238791.943876204, -229838.58179318125 2239882.7180264476))	[null]
ID5d7c49f8eff9	POLYGON ((-227657.0334926939 2246645.5177579583, -226348.10451240157 2246645.5177579583, -226348.10451240157 2245118.433947617, -227657.0334926939 2245118.433947617, -227657.0334926939 2246645.5177579583))	[null]
ID5d7c49f8effa	POLYGON ((-208460.20883076038 2209550.5962449634, -207238.9587718068 2209550.5962449634, -207238.9587718068 2208736.4295389946, -208460.20883076038 2208736.4295389946, -208460.20883076038 2209550.5962449634))	[null]
ID5d7c49f8effb	POLYGON ((-214973.54247851289 2216471.0132457004, -213446.9799048209 2216471.0132457004, -213446.9799048209 2215656.8465397316, -214973.54247851289 2215656.8465397316, -214973.54247851289 2216471.0132457004))	[null]
ID5d7c49f8effc	POLYGON ((-232057.4925167508 2211406.300975169, -230716.46835826532 2211406.300975169, -230716.46835826532 2210214.2795009594, -232057.4925167508 2210214.2795009594, -232057.4925167508 2211406.300975169))	[null]
ID5d7c49f8effd	POLYGON ((-232057.4925167508 2226455.5720870616, -231014.47372681764 2226455.5720870616, -231014.47372681764 2225412.553297128, -232057.4925167508 2225412.553297128, -232057.4925167508 2226455.5720870616))	[null]
ID5d7c49f8effe	POLYGON ((-139824.83094980568 2168642.53058791, -138930.8148441487 2168642.53058791, -138930.8148441487 2167599.5117979767, -139824.83094980568 2167599.5117979767, -139824.83094980568 2168642.53058791))	[null]
ID5d7c49f8efff	POLYGON ((-124924.56252218934 2156126.3051087125, -124328.55178508468 2156126.3051087125, -124328.55178508468 2154934.283634503, -124924.56252218934 2154934.283634503, -124924.56252218934 2156126.3051087125))	[null]
ID5d7c49f8f000	POLYGON ((-109726.28872602066 2155977.302424436, -107789.25383043056 2155977.302424436, -107789.25383043056 2154189.270213122, -109726.28872602066 2154189.270213122, -109726.28872602066 2155977.302424436))	[null]
ID5d7c49f8f001	POLYGON ((-105107.2055134596 2165215.4688495584, -104064.18672352645 2165215.4688495584, -104064.18672352645 2164619.4581124536, -105107.2055134596 2164619.4581124536, -105107.2055134596 2165215.4688495584))	[null]
ID5d7c49f8f002	POLYGON ((-311141.5600911851 2155456.5697350167, -307308.7542510929 2155456.5697350167, -307308.7542510929 2152901.365841622, -311141.5600911851 2152901.365841622, -311141.5600911851 2155456.5697350167))	[null]
ID5d7c49f8f003	POLYGON ((-250774.86810973354 2166635.586768619, -249177.86567636178 2166635.586768619, -249177.86567636178 2163760.98238855, -250774.86810973354 2163760.98238855, -250774.86810973354 2166635.586768619))	[null]
ID5d7c49f8f004	POLYGON ((-306669.95327774424 2154178.9677883196, -301878.94597762905 2154178.9677883196, -301878.94597762905 2151623.7638949244, -306669.95327774424 2151623.7638949244, -306669.95327774424 2154178.9677883196))	[null]
ID5d7c49f8f005	POLYGON ((-241192.85350950313 2138208.943454602, -237998.84864275967 2138208.943454602, -237998.84864275967 2133737.3366411612, -241192.85350950313 2133737.3366411612, -241192.85350950313 2138208.943454602))	[null]
ID5d7c49f8f006	POLYGON ((-288144.72505063214 2119683.71522749, -284631.3196972143 2119683.71522749, -284631.3196972143 2118406.1132807927, -288144.72505063214 2118406.1132807927, -288144.72505063214 2119683.71522749))	[null]
ID5d7c49f8f007	POLYGON ((-281437.31483047083 2118406.1132807927, -278882.11093707604 2118406.1132807927, -278882.11093707604 2116489.7103607464, -281437.31483047083 2116489.7103607464, -281437.31483047083 2118406.1132807927))	[null]
ID5d7c49f8f008	POLYGON ((-84686.61503907316 2173981.797962129, -79895.60773895791 2173981.797962129, -79895.60773895791 2171745.9945554086, -84686.61503907316 2171745.9945554086, -84686.61503907316 2173981.797962129))	[null]
ID5d7c49f8f009	POLYGON ((-144733.90653385036 2145235.7541614375, -142817.5036138043 2145235.7541614375, -142817.5036138043 2142361.1497813687, -144733.90653385036 2142361.1497813687, -144733.90653385036 2145235.7541614375))	[null]
ID5d7c49f8f00a	POLYGON ((-160384.53038089335 2259581.1283908538, -156871.12502747553 2259581.1283908538, -156871.12502747553 2257025.924497459, -160384.53038089335 2257025.924497459, -160384.53038089335 2259581.1283908538))	[null]
ID5d7c49f8f00b	POLYGON ((-171244.14692782116 2254790.1210907386, -166453.13962770594 2254790.1210907386, -166453.13962770594 2249360.3128172746, -171244.14692782116 2249360.3128172746, -171244.14692782116 2254790.1210907386))	[null]
ID5d7c49f8f00c	POLYGON ((-169008.34352110073 2248082.7108705775, -165814.33865435724 2248082.7108705775, -165814.33865435724 2244249.9050304852, -169008.34352110073 2244249.9050304852, -169008.34352110073 2248082.7108705775))	[null]
ID5d7c49f8f00d	POLYGON ((-305392.35133104684 2168232.5892019905, -303795.3488976751 2168232.5892019905, -303795.3488976751 2165038.584335247, -305392.35133104684 2165038.584335247, -305392.35133104684 2168232.5892019905))	[null]
